Species,Genome_Size
A.vittatum,1.620616892
A.vittatum,1.648404793
A.vittatum,1.648267632
A.vittatum,1.628945214
A.vittatum,1.615400583
A.vittatum,1.647741175
A.vittatum,1.701476147
A.vittatum,1.706109393
D.u.howardi,1.539584839
D.u.howardi,1.564602781
D.u.howardi,1.552581839
D.u.howardi,1.566463176
D.u.howardi,1.564250701
D.u.howardi,1.56590107
D.u.howardi,1.57509172
D.u.howardi,1.557224833
D.balteata,1.651934376
D.balteata,1.658567374
D.balteata,1.657919786
D.balteata,1.680010946
D.balteata,1.585695969
D.balteata,1.607268034
D.balteata,1.685542244
D.balteata,1.622683577
D.barberi,2.270665642
D.barberi,2.276794598
D.barberi,2.163873263
D.barberi,2.183759095
D.barberi,2.288311584
D.barberi,2.45071445
D.barberi,2.115814565
D.barberi,2.350138612
D.v.zeae,2.589895755
D.v.zeae,2.516261862
D.v.zeae,2.638502876
D.v.zeae,2.621452842
D.v.zeae,2.564374649
D.v.zeae,2.634819082
D.v.zeae,2.612785591
D.v.zeae,2.579426977
D.v.virgifera,2.468487177
D.v.virgifera,2.638532124
D.v.virgifera,2.57746573
D.v.virgifera,2.591461658
D.v.virgifera,2.590349088
D.v.virgifera,2.634681959
D.v.virgifera,2.614006046
D.v.virgifera,2.533556571
